fnumber,label,accuracy,left x,top y,width,height
1,KIA,100,15,262,28,31
1,KIA,100,54,234,23,29
1,KIA,100,91,211,17,27
1,KIA,91,119,188,20,26
1,KIA,79,148,170,14,22
1,JACOBS_CREEK,100,165,22,71,38
1,KIA,88,169,153,16,25
1,JACOBS_CREEK,100,258,18,76,38
1,IBM,100,282,91,39,18
1,FLY_EMIRATES,100,356,20,73,31
1,KIA,100,398,228,43,21
1,KIA,100,459,18,70,38
1,MELBOURNE,100,505,528,264,28
1,KIA,100,556,18,68,39
1,KIA,100,652,19,68,37
1,KIA,100,750,18,68,38
1,KIA,100,835,231,42,20
1,ANZ,100,853,17,96,35
1,ANZ,100,965,20,93,37
1,ROLEX,100,991,71,22,16
1,FLY_EMIRATES,100,1078,29,68,35
1,KIA,100,1109,159,20,25
1,KIA,99,1135,175,17,27
1,KIA,100,1162,196,20,26
1,MASTER_CARD,90,1237,69,41,30
2,KIA,100,15,262,28,31
2,KIA,100,54,234,23,29
2,KIA,100,91,211,17,27
2,KIA,92,119,188,20,26
2,KIA,79,148,170,14,22
2,JACOBS_CREEK,100,164,22,71,38
2,KIA,89,169,153,16,25
2,JACOBS_CREEK,100,258,18,76,38
2,IBM,100,282,91,38,18
2,FLY_EMIRATES,100,356,20,73,31
2,KIA,100,398,228,43,21
2,KIA,100,459,18,70,38
2,MELBOURNE,100,505,528,264,28
2,KIA,100,556,18,68,39
2,KIA,100,652,19,68,37
2,KIA,100,750,18,68,38
2,KIA,100,835,231,42,20
2,ANZ,100,853,17,96,35
2,ANZ,100,966,20,93,37
2,ROLEX,100,991,71,22,16
2,FLY_EMIRATES,100,1078,29,68,35
2,KIA,100,1109,159,20,25
2,KIA,99,1135,175,17,27
2,KIA,100,1162,196,20,26
2,MASTER_CARD,90,1237,69,41,29
3,KIA,100,15,262,28,31
3,KIA,100,54,234,23,29
3,KIA,100,91,211,17,27
3,KIA,94,119,188,20,26
3,KIA,84,148,170,13,22
3,JACOBS_CREEK,100,165,22,71,38
3,KIA,93,169,153,16,25
3,JACOBS_CREEK,100,258,18,76,38
3,IBM,100,282,91,38,18
3,FLY_EMIRATES,100,356,20,73,31
3,KIA,100,398,228,43,21
3,KIA,100,459,18,70,38
3,MELBOURNE,100,506,528,262,28
3,KIA,100,556,18,67,39
3,KIA,100,652,19,67,37
3,KIA,100,749,18,69,38
3,KIA,100,835,231,42,20
3,ANZ,100,853,16,96,35
3,ANZ,100,966,20,93,37
3,ROLEX,100,991,71,22,16
3,FLY_EMIRATES,100,1079,29,68,36
3,KIA,99,1109,159,20,25
3,KIA,99,1135,175,17,27
3,KIA,100,1162,196,20,26
3,MASTER_CARD,92,1237,69,41,30
4,KIA,100,15,262,28,30
4,KIA,100,54,234,22,29
4,KIA,100,91,211,18,28
4,KIA,94,119,188,19,26
4,KIA,88,149,170,14,22
4,JACOBS_CREEK,100,165,22,71,38
4,KIA,93,169,153,16,26
4,JACOBS_CREEK,100,253,19,79,39
4,IBM,100,283,91,38,18
4,FLY_EMIRATES,100,356,20,72,31
4,KIA,100,398,229,43,21
4,KIA,100,458,18,70,38
4,MELBOURNE,100,507,529,261,28
4,KIA,100,556,18,68,38
4,KIA,100,652,19,67,37
4,KIA,100,750,18,68,38
4,KIA,100,835,231,42,21
4,ANZ,100,852,17,96,35
4,ANZ,100,966,20,93,37
4,ROLEX,100,991,72,22,16
4,FLY_EMIRATES,100,1079,29,68,36
4,KIA,100,1109,159,20,25
4,KIA,99,1135,175,17,28
4,KIA,100,1162,196,20,26
4,MASTER_CARD,87,1237,69,40,30
5,KIA,100,14,262,27,31
5,KIA,100,52,235,23,28
5,KIA,100,88,211,18,28
5,KIA,93,117,189,19,26
5,KIA,88,147,170,14,22
5,JACOBS_CREEK,100,164,22,71,39
5,KIA,95,167,153,16,26
5,JACOBS_CREEK,100,251,19,79,39
5,IBM,100,281,91,38,18
5,FLY_EMIRATES,100,355,20,72,32
5,KIA,100,397,229,43,22
5,KIA,100,457,18,70,38
5,MELBOURNE,100,508,530,259,26
5,KIA,100,555,18,68,38
5,KIA,100,651,19,67,38
5,KIA,100,749,18,68,38
5,KIA,100,834,231,42,21
5,ANZ,100,852,17,96,36
5,ANZ,100,965,20,92,37
5,ROLEX,100,990,72,22,15
5,FLY_EMIRATES,100,1078,28,65,35
5,KIA,100,1108,159,20,25
5,KIA,99,1134,175,18,27
5,KIA,100,1161,197,20,26
5,MASTER_CARD,89,1236,70,41,29
6,KIA,100,9,262,26,32
6,KIA,100,46,236,23,29
6,KIA,100,82,211,19,28
6,KIA,86,112,189,18,24
6,KIA,85,142,170,13,22
6,JACOBS_CREEK,100,159,22,73,39
6,KIA,92,161,153,17,24
6,JACOBS_CREEK,100,251,18,75,38
6,IBM,100,276,91,39,18
6,FLY_EMIRATES,100,350,19,74,32
6,KIA,100,393,228,42,22
6,KIA,100,454,18,69,38
6,MELBOURNE,100,503,531,266,27
6,KIA,100,552,18,68,38
6,KIA,100,647,18,69,38
6,KIA,100,745,17,70,38
6,KIA,100,833,231,41,21
6,ANZ,100,851,16,96,35
6,ANZ,100,965,18,89,38
6,ROLEX,100,989,72,22,15
6,FLY_EMIRATES,100,1078,27,66,36
6,KIA,100,1108,159,20,25
6,KIA,99,1134,175,18,27
6,KIA,100,1161,196,20,26
6,MASTER_CARD,84,1236,69,42,30
7,KIA,99,0,265,23,31
7,KIA,100,34,236,23,30
7,KIA,99,71,212,19,28
7,KIA,97,101,189,19,25
7,KIA,72,130,171,15,23
7,JACOBS_CREEK,100,149,20,75,40
7,KIA,77,153,152,16,25
7,JACOBS_CREEK,100,240,16,81,40
7,IBM,100,269,90,39,19
7,FLY_EMIRATES,100,344,16,76,33
7,KIA,100,388,230,43,22
7,KIA,100,450,15,72,39
7,MELBOURNE,100,496,536,269,31
7,KIA,100,550,15,70,39
7,KIA,100,647,15,71,39
7,KIA,100,747,14,72,39
7,KIA,100,837,232,40,21
7,ANZ,100,855,13,98,36
7,ANZ,100,970,15,93,40
7,ROLEX,100,996,70,21,15
7,FLY_EMIRATES,100,1086,24,67,38
7,KIA,100,1117,159,19,26
7,KIA,98,1142,176,18,26
7,KIA,100,1171,196,20,27
7,MASTER_CARD,54,1245,65,33,34
8,KIA,75,-0,267,6,32
8,KIA,100,19,239,25,28
8,KIA,95,57,213,19,27
8,KIA,100,88,191,20,24
8,KIA,29,140,150,18,28
8,JACOBS_CREEK,95,140,16,73,41
8,JACOBS_CREEK,100,232,8,81,45
8,IBM,99,261,89,39,18
8,FLY_EMIRATES,100,335,13,81,34
8,KIA,100,381,231,45,22
8,KIA,100,446,11,73,39
8,MELBOURNE,100,494,546,268,32
8,KIA,100,549,11,71,40
8,KIA,100,648,11,73,40
8,KIA,100,751,10,72,40
8,KIA,100,843,233,41,22
8,ANZ,100,860,10,96,37
8,ANZ,100,980,13,96,38
8,ROLEX,100,1005,67,21,16
8,FLY_EMIRATES,100,1098,22,70,37
8,KIA,100,1129,159,20,26
8,KIA,100,1154,176,21,27
8,KIA,99,1185,197,19,27
8,MASTER_CARD,83,1263,64,15,28
9,KIA,95,3,241,25,28
9,KIA,100,44,215,20,26
9,KIA,99,76,193,19,24
9,JACOBS_CREEK,95,120,9,85,48
9,KIA,38,129,150,18,26
9,JACOBS_CREEK,100,219,6,87,45
9,IBM,98,251,87,40,19
9,FLY_EMIRATES,100,327,10,84,36
9,KIA,100,376,234,46,22
9,KIA,100,439,8,77,40
9,MELBOURNE,100,495,556,284,30
9,KIA,100,546,7,74,41
9,KIA,100,649,8,74,40
9,KIA,100,754,7,73,41
9,KIA,100,848,236,42,21
9,ANZ,100,866,7,101,37
9,ANZ,100,988,10,97,38
9,ROLEX,100,1014,65,22,16
9,FLY_EMIRATES,85,1110,21,68,37
9,KIA,100,1142,158,21,27
9,KIA,100,1169,175,19,30
9,KIA,100,1198,199,20,27
10,KIA,100,15,262,28,31
